Basis data juga memiliki kemampuan dalam menyimpan struktur, baik yang mendefinisikan obyek-obyek dalam basis data maupun definisi detail dari tiap obyek. Uraian ini merupakan tujuan pemanfaatan dari basis data, yaitu …	Kecepatan dan Kemudahan (Speed)	Efisiensi ruang penyimpanan (Space)	Kelengkapan (Completeness)	Ketersediaan (Available)	3	0	3
Data dapat diakses oleh beberapa program aplikasi, baik secara batch maupun online pada saat bersamaan. Uraian ini merupakan tujuan pemanfaatan dari basis data, yaitu …	Terpeliharanya keselarasan data (Consistant)	Kelengkapan (Completeness)	Ketersediaan (Available)	Kebersamaan Pemakaian (Sharability)	4	0	3
Dalam sistem basis data, terdapat beberapa komponen yang terlibat. Yang bukan menunjukkan sebagai salah satu dari komponen basis data adalah	Perangkat Keras (Hardware)	Sistem Operasi (Operating System)	Sistem Basis Data (Basis data System)	Sistem Pengelola Basis data (Database magement System - DBMS)	3	0	4
Kumpulan program yang memungkinkan pengguna untuk membuat dan memelihara basis data, serta mengontrol semua akses ke basis data tersebut. Uraian tersebut menunjukkan pengertian dari	Perangkat Keras (Hardware)	Sistem Operasi (Operating System)	Sistem Basis Data (Basis data System)	Sistem Pengelola Basis data (Database magement System - DBMS)	4	0	4
Berikut ini yang menunjukkan sebagai kerugian dalam menggunakan DBMS, adalah	Mampu mengontrol redundansi (controlling redundancy)	Mampu membatasi akses yang tidak sah (restricting unauthorized access)	Dapat menyediakan penyimpanan yang persisten untuk objek program (providing persistent storage for program objects)	Tidak dapat melakukan kontrol redudansi (no controlling redundancy)	4	0	4
Berikut ini adalah contoh kegiatan yang merupakan tugas dari Administrator Basis Data, yaitu	Memastikan bahwa ruang penyimpanan kosong tersedia untuk operasi normal, dan meningkatkan ruang penyimpanan sesuai kebutuhan.	Mengembangkan perangkat lunak berdasarkan rancangan yang telah menggunakan salah satu bahasa pemrograman	Mengidentifikasi data yang akan disimpan dalam basis data dan memilih struktur yang sesuai untuk mewakili dan menyimpan data tersebut.	Mengakses basis data untuk membuat kueri, memperbarui, dan membuat laporan.	1	0	4
Kumpulan konsep yang dapat digunakan untuk menggambarkan struktur basis data dan menyediakan sarana yang diperlukan untuk mencapai abstraksi data. Uraian tersebut menunjukkan pengertian dari …	Model Relasional	Model Entity-Relationship	Model Jaringan	Model Data	4	0	5
Jenis model data yang memberikan konsep yang mirip dengan cara banyak pengguna melihat data, merupakan ….	Model data tingkat tinggi	Model data fisik	Model data tingkat rendah	Model data abstrak	1	0	5
Model data yang representasional mewakili data dengan menggunakan struktur record disebut sebagai …	Model data berbasis tabel	Model data berbasis tuple	Model data berbasis record	Model data berbasis kolom	3	0	5
Berdasarkan jenis konsep yang digunakan untuk menggambarkan struktur basis data, model data dikategorikan menjadi dua. Yang bukan termasuk model data adalah	Model data tingkat tinggi	Model data konseptual	Model data tingkat rendah	Model data abstrak	4	0	5
Tingkatan abstraksi data seperti yang ditunjukkan pada gambar berikut, pada level 2 merupakan …	Level Fisik (Physical Level)	Level Logis (Logical Level)	Level Tampilan (View Level)	Level Rancangan (Design Level)	2	1	6
Tingkatan abstraksi data seperti yang ditunjukkan pada gambar berikut, pada level 3 merupakan …	Level Fisik (Physical Level)	Level Logis (Logical Level)	Level Tampilan (View Level)	Level Rancangan (Design Level)	3	1	6
Dalam level abstraksi data, pengguna dapat melakukan interaksi atau mengakses basis data melalui sebuah aplikasi. Hal tersebut merupakan contoh tugas dari pengguna pada level …	Level Fisik (Physical Level)	Level Logis (Logical Level)	Level Tampilan (View Level)	Level Rancangan (Design Level)	3	0	6
Di level manakah pengguna dapat melihat data yang ditampilkan sebagai gabungan dari struktur dan datanya sendiri?	Level Fisik (Physical Level)	Level Logis (Logical Level)	Level Tampilan (View Level)	Level Rancangan (Design Level)	1	0	6
Bahasa dalam DBMS yang digunakan untuk mendefinisikan sebuah basis data ataupun tabel, adalah …	Data Definition Language (DDL)	Data Control Language (DCL)	Data Logical Language (DLL)	Data Manipulation Language (DML)	1	0	7
Select, Insert, Update, dan Delete, merupakan perintah dasar dalam bahasa basis data, yaitu	Data Definition Language (DDL)	Data Control Language (DCL)	Data Logical Language (DLL)	Data Manipulation Language (DML)	4	0	7
Contoh perintah-perintah dasar yang termasuk dalam Data Definition Language (DDL), adalah	Delete	Create	Grant	Revoke	2	0	7
Perintah dasar pada bahasa basis data yang digunakan untuk menampilkan record data pada sebuah tabel, adalah perintah …	Delete	Create	Select	Revoke	3	0	7
Salah satu komponen yang digunakan untuk merepresentasikan konsep dasar model Entity-Relationship adalah	Atribut	Relasi	Entitas	Semua benar	4	0	7
Pada basis data PERUSAHAAN, entitas KARYAWAN dapat dijelaskan dengan beberapa atribut. Contoh atribut berikut yang bisa ada pada entitas KARYAWAN adalah …	Lokasi	Nama_Departemen	No_KTP	Semua salah	3	0	8
Pada sebuah basis data, entitas dapat dijelaskan oleh keberadaan … dari entitas tersebut	Atribut	Tabel	Tuple	Relasi	1	0	8
Berdasarkan gambar berikut ini, yang menunjukkan atribut adalah …	EMPLOYEE dan COMPANY	Name, Age, dan Salary	John Smith, 55, 80k	e1, e2, dan e3	2	1	8
Berdasarkan gambar berikut ini, yang menunjukkan jenis entitas adalah …	EMPLOYEE dan COMPANY	Name, Age, dan Salary	John Smith, 55, 80k	e1, e2, dan e3	1	1	8
Dari gambar berikut ini, yang menunjukkan sebagai entitas kuat adalah …	Tanggungan	Karyawan	Pengawas	Mengelola	2	1	9
Dari gambar berikut ini, yang menunjukkan sebagai entitas lemah adalah …	Karyawan	Pengawas	Tanggungan	Mengelola	3	0	9
Entitas BUKU pada gambar berikut merupakan entitas kuat. Apakah ciri khusus dari entitas kuat?	Tergantung pada entitas lain	Memiliki atribut bernilai banyak	Memiliki primary key	Memiliki foreign key	3	1	9
Sebuah entitas dinyatakan sebagai entitas lemah jika entitas tersebut …	Tergantung pada entitas lain	Memiliki atribut bernilai banyak	Memiliki primary key	Memiliki foreign key	1	0	9
Dari gambar berikut, yang menunjukkan sebagai atribut bernilai banyak adalah	Name	Manager	Location	Manager_start_date	3	1	10
Berdasarkan gambar berikut, yang merupakan atribut kunci adalah …	Name dan Number	Manager dan Name	Location dan Number	Manager_start_date dan Name	1	1	10
Berdasarkan gambar berikut, yang merupakan atribut sederhana adalah …	Works_on	Name	Sex	Ssn	3	1	10
Berdasarkan gambar berikut, atribut color merupakan …	Atribut turunan	Atribut bernilai banyak	Atribut Komposit	Atribut kunci	2	1	10
Berdasarkan gambar berikut, atribut Registration merupakan …	Atribut turunan	Atribut bernilai banyak	Atribut Komposit	Atribut kunci	3	1	10
Berdasarkan gambar berikut, KERJA_UNTUK yang menghubungkan antara entitas KARYAWAN dengan entitas DEPARTEMEN disebut…	Entitas	Relasi	Atribut	Instance	2	1	11
Berdasarkan gambar berikut, atribut yang dapat diganti menjadi relasi untuk tujuan pengembangan basis data berikutnya adalah …	NamaPro	NomorPro	Lokasi	Departemen_Pengontrol	4	1	11
Jika dalam aturan miniworld, bahwa mahasiswa boleh mengambil banyak mata kuliah dalam satu semester, maka jenis rasio kardinalitas dari relasi biner yang cocok digunakan adalah …	One-to-Many	One-to-One	Many-to-Many	Three Binary	1	0	11
Gambar berikut merupakan ilustrasi dari jenis relasi biner dengan rasio kardinalitas …	One-to-Many	One-to-One	Many-to-Many	Semua jawaban salah	3	1	11
Gambar berikut ini merupakan contoh dari jenis relasi …	Ternary	Biner	Binary	Four Binary	1	1	11
Apa perbedaan dari jenis relasi biner dengan jenis relasi ternary?	Relasi biner adalah jenis relasi berderajat dua sedangkan ternary adalah jenis relasi berderajat lebih dari tiga	Relasi biner adalah jenis relasi berderajat dua sedangkan ternary adalah jenis relasi berderajat tiga	Relasi biner adalah jenis relasi berderajat dua sedangkan ternary adalah jenis relasi berderajat banyak	Relasi biner adalah jenis relasi yang tidak memiliki derajat sedangkan ternary adalah jenis relasi berderajat lebih dari tiga	2	0	12
Berdasarkan rasio kardinalitas, jenis relasi biner dapat diklasifikasikan menjadi empat. Yang bukan termasuk jenis relasi biner adalah	One-to-Many	One-to-One	Many-to-Many	Three Binary	4	0	12
Notasi relasi biner M:N mengartikan rasio kardinalitas …	One-to-Many	One-to-One	Many-to-Many	Many-to-One	3	0	12
Dalam aturan miniworld, jika perusahaan memiliki aturan bahwa setiap karyawan harus bekerja tepat untuk satu departemen, maka jenis rasio kardinalitas dari relasi biner yang cocok digunakan adalah	One-to-Many	One-to-One	Many-to-Many	Many-to-One	2	0	12
Gambar berikut menunjukkan simbol …	Atribut	Entitas kuat	Entitas lemah	Relasi	3	1	13
Gambar berikut menunjukkan simbol …	Atribut	Entitas kuat	Entitas lemah	Relasi	4	1	13
Gambar berikut menunjukkan simbol …	Atribut Bernilai Banyak	Atribut Kunci	Atribut Komposit	Atribut Turunan	2	1	13
Gambar berikut menunjukkan simbol …	Atribut Bernilai Banyak	Atribut Kunci	Atribut Komposit	Atribut Turunan	1	1	13
Ada berapa tahapan yang dapat dilakukan ketika membuat rancangan diagram E-R?	Dua	Tiga	Empat	Lima	3	0	14
Dari tahapan-tahapan berikut, yang menunjukkan tahapan pertama dalam proses perancangan diagram E-R adalah …	Mengidentifikasi dan menetapkan seluruh himpunan relasi diantara himpunan entitas-himpunan entitas yang ada	Menentukan jenis relasi yang dilengkapi dengan rasio kardinalitas yang digunakan untuk semua jenis relasi.	Mengidentifikasi dan menetapkan seluruh entitas yang akan terlibat berdasarkan deskripsi miniworld yang diberikan.	Menentukan atribut-atribut untuk masing-masing entitas. Dalam hal ini juda sudah ditentukan atribut yang akan digunakan sebagai kunci.	3	0	14
Dari tahapan-tahapan berikut, yang menunjukkan tahapan kedua dalam proses perancangan diagram E-R adalah …	Mengidentifikasi dan menetapkan seluruh entitas yang akan terlibat berdasarkan deskripsi miniworld yang diberikan.	Menentukan atribut-atribut untuk masing-masing entitas. Dalam hal ini juda sudah ditentukan atribut yang akan digunakan sebagai kunci.	Mengidentifikasi dan menetapkan seluruh himpunan relasi diantara himpunan entitas-himpunan entitas yang ada	Menentukan jenis relasi yang dilengkapi dengan rasio kardinalitas yang digunakan untuk semua jenis relasi.	2	0	14
Dari tahapan-tahapan berikut, yang menunjukkan tahapan keempat dalam proses perancangan diagram E-R adalah …	Mengidentifikasi dan menetapkan seluruh entitas yang akan terlibat berdasarkan deskripsi miniworld yang diberikan.	Menentukan atribut-atribut untuk masing-masing entitas. Dalam hal ini juda sudah ditentukan atribut yang akan digunakan sebagai kunci.	Mengidentifikasi dan menetapkan seluruh himpunan relasi diantara himpunan entitas-himpunan entitas yang ada	Menentukan jenis relasi yang dilengkapi dengan rasio kardinalitas yang digunakan untuk semua jenis relasi.	4	0	14
Dalam merancang diagram E-R untuk basis data PERUSAHAAN, pada tahap pertama akan menghasilkan sejumlah himpunan entitas. Salah satu himpunan entitas yang dihasilkan adalah himpunan entitas …	MAHASISWA	KERJA_UNTUK	KARYAWAN	TANGGUNGAN	3	0	15
Pada tahap kedua proses perancangan diagram E-R PERUSAHAAN menghasilkan himpunan relasi kecuali …	KERJA_UNTUK	KERJA_PROYEK	MENGELOLA	TANGGUNGAN _DARI	2	0	15
Ada sebuah himpunan entitas lemah yang dihasilkan dalam proses tahapan perancangan diagram E-R basis data PERUSAHAAN, yaitu …	MAHASISWA	KERJA_UNTUK	KARYAWAN	TANGGUNGAN	4	0	15
Jenis relasi PENGAWAS menghubungkan antara entitas KARYAWAN (dalam peran sebagai pengawas) dan KARYAWAN (dalam peran sebagai orang yang diawasi). Bahwa tidak semua karyawan adalah pengawas dan tidak semua karyawan memiliki pengawas. Jenis partisipasi yang sesuai digunakan adalah …	Partisipasi parsial	Partisipasi total	Partisipasi relasi	Semua jawaban salah	1	0	15
Pada basis data UNIVERSITAS, entitas yang mungkin terbentuk adalah …	KEJUR	DOSEN_JUR	JURUSAN	MENAWARKAN	3	0	16
Relasi yang mungkin terbentuk dari hasil hubungan antara entitas FAKULTAS dengan entitas DOSEN pada basis data universitas adalah …	MEMIMPIN	DOSEN_JUR	DEKAN	MENGAMBIL	3	0	16
Dalam aturan miniworld bahwa seorang rektor memimpin sebuah universitas. Jenis rasio kardinalitas pada relasi biner yang cocok diterapkan untuk kasus tersebut adalah …	One-to-Many	One-to-One	Many-to-Many	Many-to-One	2	0	16
MENGAJAR dalam rancangan E-R basis data universitas lebih cocok diidentifikasi sebagai …	Entitas	Relasi	Atribut	Primary Key	2	0	16
Ilustrasi di atas merupakan representasi dari model data …Entity-Relationship	Ilustrasi di atas merupakan representasi dari model data …Entity-Relationship	Relasional	Berorientasi Obyek	Semantik	2	1	17
Domain adalah sekumpulan nilai yang unit. Metode umum untuk menentukan domain adalah dengan cara …	Menentukan tipe data yang membentuk domain tersebut	Menentukan asal data yang digunakan domain	Menggambarkan tipe data-tipe data yang cocok	Semua jawaban salah	1	0	17
Mengapa atribut komposit dan atribut bernilai banyak tidak diperbolehkan sebagai nilai tupel? Karena …	Atribut komposit merupakan atribut majemuk	Hobi merupakan contoh atribut bernilai banyak	Setiap nilai tupel harus unik/atomik	Atribut alamat merupakan contoh atribut komposit	3	0	17
Relasi derajat lima artinya bahwa ada lima atribut yang menggambarkan sebuah relasi R, di mana kelima atribut tersebut menyimpan informasi berkaitan relasi R tersebut. Berikut ini adalah contoh relasi yang menunjukkan relasi derajat lima, yaitu …	MAHASISWA (Nama, NIM, No_Hp, Alamat, Telp_Kantor, Usia, IPK)	KARYAWAN (NIK, Nama, Jenis_kelamin)	DOSEN (NIP, Nama, Alamat, Agama)	MATAKULIAH (Kode, Nama, Sks, Semester, Kurikulum)	4	0	17
Batasan pada basis data relasional dikategorikan menjadi tiga, yaitu kecuali …	Batasan yang melekat pada model data	Batasan yang tidak dapat diekspresikan secara langsung dalam skema model data, tetapi harus diekspresikan oleh program aplikasi.	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Definition Language (DDL)	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Manipulation Language (DML)	4	0	18
Batasan pada basis data relasional dikategorikan menjadi tiga. Batasan berikut yang dikategorikan sebagai batasan semantik adalah …	Batasan yang melekat pada model data	Batasan yang tidak dapat diekspresikan secara langsung dalam skema model data, tetapi harus diekspresikan oleh program aplikasi.	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Definition Language (DDL)	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Manipulation Language (DML)	2	0	18
Batasan pada basis data relasional dikategorikan menjadi tiga. Batasan berikut yang dikategorikan sebagai batasan implisit adalah …	Batasan yang melekat pada model data	Batasan yang tidak dapat diekspresikan secara langsung dalam skema model data, tetapi harus diekspresikan oleh program aplikasi.	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Definition Language (DDL)	Batasan yang dapat diekspresikan secara langsung dalam skema model data, melalui Data Manipulation Language (DML)	1	0	18
Gambar berikut merupakan penggambaran sebuah skema relasi. MOBIL Yang menunjukkan sebagai atribut primary key adalah …	No_Mesin	Pembuat	Model	No_Plat	4	1	18
